iter	Logloss
0	0.6820764614
1	0.6717947833
2	0.6614077831
3	0.6515131366
4	0.642212052
5	0.6336499081
6	0.6251331183
7	0.6170186809
8	0.6094108381
9	0.6021714689
10	0.595215943
11	0.5883465992
12	0.5820895644
13	0.575903776
14	0.5700646439
15	0.5643284772
16	0.5588667828
17	0.5538686795
18	0.5490827
19	0.5443998345
20	0.5399323308
21	0.5356147835
22	0.5316117587
23	0.527625379
24	0.5241489033
25	0.5205689125
26	0.5172284335
27	0.5140209445
28	0.5111302843
29	0.5080407603
30	0.5052469036
31	0.5027549029
32	0.5001312422
33	0.4975111361
34	0.495065066
35	0.4929379716
36	0.4906408136
37	0.4884676567
38	0.4864688442
39	0.4844188888
40	0.4825315849
41	0.4808820178
42	0.479112459
43	0.4774649323
44	0.4759037193
45	0.4746617875
46	0.4734858233
47	0.4720329221
48	0.4708204947
49	0.4696371735
50	0.4682895309
51	0.4671818568
52	0.4659194501
53	0.4648908356
54	0.463765904
55	0.4627247184
56	0.4616794263
57	0.4607982732
58	0.4598930909
59	0.4589991585
60	0.458245765
61	0.4573509689
62	0.456482234
63	0.4556722717
64	0.4549961512
65	0.454346009
66	0.4536200429
67	0.4530299935
68	0.4524345093
69	0.451805768
70	0.451189428
71	0.450730736
72	0.4501295511
73	0.4495557376
74	0.449086485
75	0.4485529178
76	0.448091244
77	0.4477266601
78	0.4472796512
79	0.446884205
80	0.4464775584
81	0.4460449351
82	0.4457606475
83	0.445442229
84	0.445054132
85	0.4446508922
86	0.4443509604
87	0.444059945
88	0.4437012888
89	0.4434245272
90	0.4431613888
91	0.4428221356
92	0.4425659332
93	0.4422352179
94	0.4419357557
95	0.4416813627
96	0.4414243577
97	0.4411133384
98	0.4408523526
99	0.4405605509
100	0.4403075874
101	0.4400472368
102	0.4397824807
103	0.4395528877
104	0.439339067
105	0.439132453
106	0.4389572634
107	0.4387822239
108	0.4386179341
109	0.4384165325
110	0.4382824249
111	0.4380806999
112	0.4379422916
113	0.4377535669
114	0.4375740196
115	0.4374550924
116	0.4373130428
117	0.437173777
118	0.4370430691
119	0.4368633064
120	0.4367237603
121	0.4365730338
122	0.4364198174
123	0.4363017333
124	0.4361719953
125	0.436037219
126	0.4359312058
127	0.435793084
128	0.4357006385
129	0.4355722354
130	0.4354918114
131	0.4354021701
132	0.4352840606
133	0.4352089314
134	0.4351226367
135	0.4350463236
136	0.4349556393
137	0.434836828
138	0.4347410652
139	0.4346570907
140	0.4345663743
141	0.4344538873
142	0.4343341784
143	0.4342068714
144	0.4341194841
145	0.4339950306
146	0.4339270077
147	0.4338338173
148	0.4337353187
149	0.4336529707
150	0.4335777578
151	0.4334902198
152	0.4334027333
153	0.4333185918
154	0.4332486669
155	0.4331904268
156	0.4331112031
157	0.4330382343
158	0.4329575081
159	0.4328787781
160	0.43281692
161	0.4327415779
162	0.4326878561
163	0.4326390154
164	0.4325898985
165	0.4325364765
166	0.4324768977
167	0.4323991155
168	0.4323335487
169	0.432285542
170	0.4322442341
171	0.4321395758
172	0.4320600084
173	0.4320047256
174	0.4319553137
175	0.431908536
176	0.4318375492
177	0.4317932411
178	0.4317336793
179	0.4316680845
180	0.4316297794
181	0.4315937939
182	0.4315553607
183	0.4314927299
184	0.4314502989
185	0.4313844139
186	0.4313313458
187	0.4312720856
188	0.4312288738
189	0.4311601122
190	0.431114381
191	0.4310717091
192	0.4310379499
193	0.4310027642
194	0.4309555191
195	0.4308913029
196	0.4308567239
197	0.4308033812
198	0.4307202761
199	0.4306650405
200	0.4306313288
201	0.4306060525
202	0.4305678997
203	0.4305119838
204	0.4304600603
205	0.4304047637
206	0.4303641099
207	0.4303294714
208	0.4302948411
209	0.4302632668
210	0.4302367476
211	0.4302021838
212	0.4301692534
213	0.4301330794
214	0.4300769486
215	0.4300531345
216	0.4300143728
217	0.4299819455
218	0.4299380353
219	0.4299007162
220	0.4298245598
221	0.4297548016
222	0.4297272848
223	0.4296835015
224	0.4296384277
