iter	Passed	Remaining
0	9	18875
1	17	17628
2	25	17059
3	33	16823
4	42	17064
5	53	17796
6	62	17861
7	71	17685
8	79	17549
9	89	17737
10	98	17778
11	106	17588
12	115	17617
13	123	17468
14	132	17563
15	141	17591
16	152	17747
17	161	17741
18	171	17932
19	182	18077
20	194	18308
21	208	18751
22	220	18940
23	230	18968
24	243	19207
25	259	19682
26	273	19974
27	283	19984
28	296	20155
29	311	20423
30	328	20852
31	344	21210
32	362	21628
33	375	21723
34	391	21983
35	404	22086
36	415	22023
37	425	21984
38	436	21959
39	447	21907
40	459	21977
41	473	22077
42	486	22128
43	496	22059
44	509	22115
45	520	22103
46	530	22041
47	541	22033
48	552	22002
49	566	22083
50	578	22116
51	592	22190
52	600	22063
53	609	21977
54	620	21958
55	630	21874
56	638	21754
57	647	21669
58	656	21607
59	667	21576
60	676	21489
61	683	21379
62	694	21359
63	702	21249
64	711	21166
65	717	21038
66	726	20954
67	734	20858
68	741	20745
69	751	20708
70	760	20648
71	767	20554
72	775	20471
73	782	20371
74	790	20280
75	798	20203
76	805	20116
77	813	20040
78	821	19973
79	828	19877
80	836	19810
81	842	19711
82	851	19657
83	857	19569
84	863	19453
85	869	19351
86	874	19219
87	878	19096
88	885	19016
89	892	18931
90	898	18840
91	903	18729
92	907	18617
93	914	18544
94	919	18444
95	924	18330
96	930	18264
97	935	18162
98	941	18072
99	947	17997
100	952	17915
101	957	17820
102	964	17759
103	969	17679
104	975	17607
105	982	17546
106	987	17471
107	993	17399
108	998	17317
109	1003	17246
110	1010	17195
111	1015	17121
112	1020	17049
113	1027	16991
114	1032	16920
115	1036	16840
116	1043	16791
117	1048	16721
118	1052	16642
119	1059	16593
120	1063	16522
121	1068	16448
122	1075	16410
123	1080	16343
124	1084	16271
125	1090	16219
126	1095	16154
127	1100	16101
128	1106	16044
129	1111	15987
130	1117	15936
131	1122	15880
132	1126	15820
133	1132	15766
134	1137	15713
135	1141	15650
136	1146	15597
137	1152	15550
138	1156	15490
139	1162	15440
140	1167	15392
141	1172	15341
142	1177	15291
143	1183	15247
144	1187	15197
145	1194	15165
146	1200	15132
147	1205	15083
148	1211	15050
149	1217	15010
150	1222	14973
151	1229	14942
152	1234	14903
153	1240	14866
154	1246	14832
155	1251	14791
156	1258	14774
157	1264	14737
158	1269	14698
159	1276	14675
160	1280	14627
161	1285	14580
162	1291	14550
163	1296	14514
164	1302	14484
165	1308	14457
166	1313	14421
167	1320	14404
168	1326	14369
169	1331	14332
170	1337	14303
171	1342	14269
172	1347	14232
173	1354	14213
174	1359	14178
175	1365	14147
176	1371	14122
177	1376	14090
178	1382	14064
179	1388	14034
180	1392	13998
181	1400	13994
182	1407	13974
183	1414	13964
184	1419	13931
185	1424	13896
186	1430	13870
187	1435	13840
188	1440	13804
189	1447	13790
190	1452	13759
191	1458	13735
192	1466	13727
193	1472	13705
194	1478	13682
195	1485	13671
196	1491	13652
197	1497	13633
198	1503	13610
199	1509	13584
200	1515	13562
201	1520	13538
202	1528	13528
203	1547	13620
204	1552	13596
205	1558	13569
206	1564	13554
207	1570	13533
208	1577	13518
209	1586	13524
210	1594	13522
211	1601	13508
212	1608	13496
213	1614	13476
214	1621	13462
215	1628	13451
216	1635	13435
217	1641	13418
218	1647	13399
219	1654	13383
220	1661	13372
221	1667	13352
222	1674	13341
223	1680	13322
224	1688	13320
225	1694	13300
226	1701	13289
227	1707	13268
228	1713	13252
229	1719	13236
230	1725	13216
231	1732	13199
232	1739	13189
233	1744	13165
234	1750	13148
235	1755	13124
236	1762	13107
237	1768	13092
238	1774	13072
239	1781	13062
240	1787	13047
241	1793	13029
242	1800	13019
243	1806	12997
244	1812	12984
245	1817	12960
246	1822	12938
247	1829	12925
248	1834	12901
249	1838	12872
250	1844	12855
251	1849	12831
252	1854	12803
253	1860	12788
254	1865	12765
255	1870	12744
256	1876	12727
257	1882	12708
258	1887	12687
259	1893	12674
260	1948	12984
261	1985	13167
262	1990	13147
263	1997	13134
264	2004	13124
265	2013	13125
266	2019	13110
267	2025	13091
268	2033	13085
269	2039	13070
270	2046	13058
271	2052	13041
272	2058	13022
273	2064	13006
274	2069	12982
275	2076	12968
276	2081	12949
277	2087	12930
278	2095	12923
279	2100	12903
280	2105	12881
281	2112	12868
282	2118	12854
283	2126	12851
284	2132	12835
285	2141	12832
286	2147	12814
287	2153	12801
288	2161	12796
289	2167	12778
290	2174	12771
291	2180	12752
292	2184	12729
293	2192	12719
294	2197	12702
295	2204	12688
296	2209	12668
297	2215	12652
298	2222	12641
299	2227	12623
300	2235	12616
301	2241	12603
302	2247	12588
303	2255	12583
304	2263	12580
305	2272	12582
306	2279	12571
307	2288	12570
308	2296	12565
309	2303	12559
310	2311	12551
311	2318	12543
312	2324	12528
313	2333	12528
314	2340	12522
315	2348	12513
316	2353	12497
317	2360	12487
318	2365	12467
319	2371	12451
320	2379	12444
321	2384	12424
322	2389	12407
323	2396	12394
324	2401	12377
325	2408	12369
326	2413	12348
327	2419	12331
328	2425	12319
329	2430	12302
330	2436	12284
331	2442	12271
332	2447	12254
333	2454	12245
334	2460	12228
335	2465	12211
336	2471	12197
337	2477	12182
338	2483	12170
339	2490	12157
340	2495	12142
341	2502	12132
342	2507	12115
343	2512	12096
344	2520	12091
345	2525	12072
346	2533	12070
347	2540	12058
348	2549	12059
349	2557	12056
350	2565	12052
351	2572	12042
352	2581	12043
353	2588	12036
354	2597	12037
355	2605	12031
356	2617	12044
357	2627	12052
358	2638	12062
359	2652	12084
360	2666	12105
361	2677	12114
362	2687	12117
363	2698	12129
364	2710	12140
365	2719	12141
366	2727	12136
367	2740	12151
368	2750	12155
369	2759	12154
370	2770	12164
371	2779	12165
372	2790	12173
373	2801	12180
374	2810	12178
375	2818	12172
376	2829	12182
377	2837	12174
378	2851	12193
379	2862	12202
380	2871	12200
381	2879	12197
382	2889	12197
383	2897	12195
384	2907	12196
385	2913	12183
386	2923	12185
387	2930	12175
388	2939	12175
389	2947	12166
390	2955	12162
391	2962	12153
392	2971	12149
393	2979	12145
394	2987	12138
395	2994	12130
396	3002	12124
397	3012	12125
398	3019	12116
399	3030	12120
400	3036	12109
401	3045	12106
402	3051	12093
403	3061	12092
404	3067	12081
405	3074	12072
406	3081	12061
407	3087	12048
408	3095	12042
409	3101	12029
410	3109	12021
411	3115	12007
412	3123	12000
413	3127	11982
414	3133	11968
415	3140	11959
416	3146	11945
417	3153	11935
418	3159	11920
419	3165	11906
420	3171	11894
421	3176	11879
422	3182	11865
423	3189	11854
424	3194	11838
425	3201	11827
426	3206	11812
427	3212	11797
428	3219	11791
429	3226	11779
430	3232	11768
431	3238	11754
432	3244	11740
433	3250	11730
434	3256	11715
435	3262	11704
436	3268	11691
437	3274	11676
438	3280	11663
439	3285	11648
440	3291	11635
441	3298	11625
442	3303	11610
443	3310	11601
444	3314	11583
445	3320	11569
446	3327	11559
447	3332	11543
448	3336	11526
449	3343	11518
450	3348	11501
451	3354	11490
452	3362	11483
453	3368	11469
454	3374	11459
455	3380	11446
456	3385	11432
457	3393	11425
458	3398	11411
459	3405	11400
460	3411	11387
461	3416	11373
462	3423	11364
463	3428	11350
464	3433	11334
465	3440	11324
466	3445	11310
467	3452	11302
468	3458	11289
469	3463	11273
470	3470	11265
471	3475	11251
472	3480	11235
473	3485	11222
474	3491	11208
475	3496	11195
476	3503	11186
477	3508	11172
478	3515	11161
479	3520	11149
480	3526	11135
481	3533	11128
482	3538	11114
483	3544	11101
484	3550	11092
485	3556	11078
486	3563	11070
487	3568	11055
488	3573	11042
489	3580	11032
490	3584	11016
491	3590	11003
492	3598	10998
493	3603	10984
494	3607	10968
495	3614	10959
496	3619	10946
497	3626	10938
498	3632	10925
499	3637	10912
500	3644	10904
501	3650	10892
502	3656	10881
503	3661	10869
504	3666	10855
505	3675	10851
506	3683	10846
507	3790	11134
508	3800	11131
509	3810	11132
